local_site_name,count
Reseda,1157
Pasadena,1152
HAWAII VOLCANOES NP - THURSTON,1145
Tuscan Butte (seasonal),1137
 Sherwood  -  Lasich and Roy Rogers (SLR),1131
Colorado NM - Maintenance Yard,1129
LAY PEAK,1127
Mira Loma (Bellegrave),1103
CAPE ROMAIN,1098
Spiritwood Energy Station,1096
Car-Barn Montgomery I -76,1086
MET. SITE ONLY,1073
Fernberg Road,1061
"Fairplay, Colorado",1057
Anoka County Airport,1049
HARRIMAN HIGH SCHOOL,1045
Elk Springs,1028
Wyoming Range,1022
Belle Ayr BA-4,1020
Yosemite National Park - School Yard,1013
Paradox,981
Black Thunder Mine JR5,971
STOCKER STADIUM,967
Jonah,966
SOUTH FARM SITE FOR NITROGEN DEPOSITION,959
Converse County - Mobile #2,933
Olancha-Well 404,915
W1-SAND DRAW-01,911
Decatur Thompson,908
Harrisville,900
LAT/LONG POINT IS OF SAMPLING INLET.................................,888
Reno4,851
"POKER FLAT RESEARCH RANGE, 30 MILES NE OF FAIRBANKS OFF STEESE HWY",833
Utah Technical Center,823
I-25,814
East Chicago-Marina,812
Sinclair-Mobile #2,799
Union,794
Devil's Tower NM - Joyner Ridge Trail,773
Hayes School,772
Platteville Atmospheric Observatory,767
Jefferson County Airport,752
"CAMP DODGE, GREENS GRANT",734
El Cajon - Floyd Smith Dr.,733
MICMAC HEALTH DEPARTMENT,731
Flower Mound Shiloh,698
Daniela Banu NCORE,694
Lake Park,694
MT ZION - HWY 14,694
OZONE MONITOR ON SW SIDE OF TOWER/MET EQUIPMENT 10FT ABOVE TOWER,675
Copper View,667
BONNEVILLE DAM - HWY 14,666
Sacramento-Earhart Dr.,665
"375 WILSON, ALPENA CO.",663
Evergreen,661
Spanish Fork,658
SOUTH EAST HEIGHTS,638
Laramie County Mobile,628
VANCOUVER - BLAIRMONT DR,628
Cabazon Resource Recovery Park Station,620
Riverside (Magnolia),617
Onestop Fuel,607
GILSON ROAD,607
Lebec-Peace Valley Road,589
San Rafael Wilderness,588
Sierra Ancha,586
"SUNSET PARK LOCATION, BETWEEN CITY CENTER AND POTLACH CORP.,",580
Mount Baldy,580
IVA,578
