local_site_name,count
Watson Lane,3044
"Paonia, Colorado",3038
Keller,3020
Eagle Mountain Lake,3006
Jean,3004
Echo Summit,2990
Hesperia-Olive Street,2990
UTM COORDINATES = INLET PROBE ON ROOF OF BUILDING,2934
Twenty Nine Palms-Adobe,2931
Greenville ESC,2924
SITE IS TRAILER LOCATED ON NE CORNER OF 32ND AND CHATTEROI STREETS,2913
168 FEET FROM BOISE FIRE STATION #5.,2912
Pleasanton - Owens Ct,2911
ROLLINS NEAR ROAD NO2,2884
PROBE LOCATED 39 M FROM S EDGE AND 2 M FROM E EDGE OF ROOF.,2884
ROCKY FLATS - SE,2882
"AT CBTIS, CORNER OF CALZADA CUAUHTEMOC & CALLE RIO ELOITA, MEXICALI",2876
CAMP LOGAN TRAILER,2869
SOUTH EAST HEIGHTS,2850
Horn Point,2844
Killeen Skylark Field,2832
FRANKLIN,2831
THOMASTON WPCF,2824
Lake Ilo,2778
St. Marks Wildlife Refuge,2761
Hillcrest High School,2736
CENTRAL PHOENIX,2730
WEST PHOENIX,2726
Hilight-Reno Junction Gas Plant,2724
"Walden - Colorado, Chandler Ranch",2718
Sacramento-Earhart Dr.,2710
New Haven,2694
Wind Cave NP - Visitor Center,2690
Richmond-13th St.,2675
Phelan-Beekley Road & Phelan Road,2659
Blackstone,2652
FILLEY STREET,2634
ChelmsfordNR,2632
Johnson County,2626
MILWAUKEE - COLLEGE AVE. NR,2608
Beltsville,2605
WASHAKIE,2602
Holland,2584
"Emma Wood State Beach, Ventura",2570
LOCATED AT WEST EMD PF SCHOOL PROPERTY,2563
SANDHILL EXPERIMENTAL STATION,2562
OAKLAND,2542
Southwestern H.S.,2506
Coeur d'Alene - Lancaster Rd.,2502
DP4th - Detroit Police 4th Precinct (GHIB),2488
Tallgrass Energy Partners - Gaseous,2474
Jonah,2468
"TENNESSEE VALLEY AUTHORITY PSD SITE IN HAMBLEM COUNTY, TN",2459
NORTH OF LEXINGTON & EAST ARKANSAS INTERSECTION,2458
MOORE WATER TOWER,2452
AUGUSTA QUARRY,2451
QUEENSBORO COMMUNITY COLLEGE,2444
Sunrise Acres,2441
SHORT CREEK,2435
Cupertino Monta Vista,2434
Hope- Hauser Jr-Sr High School,2426
SOUTH FARM SITE FOR NITROGEN DEPOSITION,2406
Pocatello - Garrett and Gould,2384
Fond du Lac Band 7416,2367
Ellyson Industrial Park,2350
PALO VERDE,2346
Lantana Preserve,2332
SOUTH SCOTTSDALE,2314
TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),2298
City of Alexandria Transportation and Env. Services Maintenance Bldg,2274
Camden Industrial Area,2272
Napa Valley College,2269
LOCATED ON THE WEST SIDE OF TOWN IN A GRASS/PARK AREA,2267
Larwill- Whitko Career Academy,2266
"SITE LOCATED AT NORTHERN KY WATER SERVICE PLANT, 700 ALEXANDRIA PIKE",2257
