local_site_name,count
COM ED TRAINING CENTER,2327
Mount Baldy,2318
Cupertino Monta Vista,2312
Great River Bluffs,2304
Palo Verde,2295
Tahoe City-Fairway Drive,2293
"VA, TUSCALOOSA",2290
Lincoln-2885 Moore Road,2284
MOOSEHILL SCHOOL,2279
KENDALL,2275
Crater Lake,2275
Colfax-City Hall,2272
San Rafael Wilderness,2261
Lyons Mary-Lynn Elementary (LML),2254
TRURO NATIONAL SEASHORE,2248
Pitt Agri. Center,2247
Haleakala National Park,2239
NR-GA Tech,2227
Saguaro National Park - West,2221
Mazatzal Wilderness - Ike's Backbone,2215
Berkeley,2203
Hoover Wilderness,2189
Family Resource Center,2180
Preston,2163
REDMOND CITY HALL_15760 NE 85TH REDMOND WA,2154
UPTOWN ZUNI PARK,2145
ORGAN PIPE NM,2144
Kaiser Wilderness,2138
"1 HERRING CREEK RD, AQUINNAH (WAMPANOAG TRIBAL SITE)",2112
THE SITE IS ON A GRASS COVERED OPEN AREA OF THE PLANT CITY HIGH SCHO,2104
Fort Mountain,2103
CRATER LAKE NATIONAL PARK - Maintenance Bldg (CLM),2094
HAMILTON - PS 46,2064
Pascagoula,2061
High Street,2060
Aqua Tibia Wilderness,2035
Zion NP - Dalton's Wash,2031
Trinity,2031
McAuliffe Park,2017
Piney Run,2009
Neah Bay (Makah Tribe),2007
St. Joseph Pump Station,1956
Hermiston - Municipal Airport (HMA),1952
A Street,1944
Huntley Place-Hartford,1932
NARSTO SITE ARENDTSVILLE,1917
NORTH OF TOWER RD. & WATERWORKS RD. INTERSECTION,1915
Tulalip-Tulalip Tribe,1903
McALESTER MUNICIPAL AIRPORT,1898
Columbia,1880
Hinds CC,1857
Blackstone,1838
Laird Eng Bldg,1828
EL DORADO,1821
Portola,1817
VANCOUVER - MACARTHUR BLVD,1807
Thunder Basin,1798
Texarkana New Boston,1779
Mobile-WhiteSalmon,1732
QUEEN VALLEY,1708
Lebec-Peace Valley/Frazier Park Roads,1705
Penobscot,1690
San Diego - Sherman Elementary School,1678
"ADA COUNTY FAIRGROUNDS, ACROSS INTERSECTION OF ALWORTH AND LORIMAR",1665
Mayaguez,1644
ZAMPIERI STATE OFFICE BUILDING,1629
FILLEY STREET,1626
MILLER STATE PARK,1625
Blue Mounds,1613
Bakersfield-Golden / M St,1608
Monroe / Airport,1602
IRMO,1592
New Albany- Green Valley Elem. Sch.,1582
Roosevelt,1578
GALVESTON ISLAND,1576
Sierra Ancha,1575
Reno3,1573
Pechanga,1566
Haleakala Crater,1566
FARGO NW,1560
Crescent City-Crescent Elk School,1541
RESIDENTIAL AREA,1539
Death Valley NP - Park Village,1539
Ritner (RIT),1536
Woodinville-133rd Ave,1534
Medford at Talent (South of Medford) - (TAL),1530
Corcoran-Patterson,1526
Chester-222 First Ave,1503
Salem - Turner at Cascade School (CJH),1500
Watershed Charter School,1499
OLUSTEE,1457
North Hollywood (NOHO),1446
Brockton Buckley,1437
Modesto-14th Street,1421
St Theodosius,1421
Meadow and Bank Streets,1418
Quincy-N Church Street,1414
Greenfield 16 Barr Ave,1412
SOUTH BEND CAAP,1411
Chippewa,1400
PHENIX CITY,1398
Roosevelt School-Bridgeport,1390
ROUND HILL MONTESSORI SCHOOL,1388
PONCA CITY SENIOR CENTER,1383
CHIEF LESCHI SCHOOL,1382
Boulder Lake,1377
Breton Island,1369
Fresno - Garland,1368
Turlock,1362
Ogden Dunes- Water Treatment Plant,1351
Tulalip-Totem Beach Rd,1349
DOUGLAS RED CROSS,1349
Kalispell Flathead Electric,1317
CTCLUSI Radar Hill - OR,1312
Lubbock 12th Street,1308
Essex,1290
Indpls- W. 18th St./ Ernie Pyle School 90,1282
Ramsey Health Center,1281
WESTOVER AFB,1267
Chester,1255
White Fish Dead End,1252
Clovis-Villa,1249
Benicia - VIP,1244
R&P 1400PM2.5 TEOM ON TOP OF SHAVER'S MARKET ON SOUTH END OF TOWN.,1185
GLACIER NATIONAL PARK,1181
Alsup Elementry School - Commerce City,1174
Paynes Prairie Farm,1168
"Great Smoky Mountains National Park, Look Rock",1159
Fort Griswold Park,1154
"Big Bend National Park, K-Bar Ranch Road",1143
Pinnacles National Park,1141
"Canyonlands National Park, Island in the Sky",1130
"Mesa Verde National Park, Resource Management Area",1129
Chiricahua National Monument,1127
"Yosemite National Park, Turtleback Dome",1124
"Shenandoah National Park, Big Meadows",1120
Bethel,1119
COMMUNITY HEALTH SERVICES (CHS),1110
Onestop Fuel,1109
Flat Tops,1109
"OLD DOVER HIGHWAY CADIZ,KY",1107
SKOKOMISH - TRIBAL CENTER (SKOKOMISH TRIBE),1106
Lassen Volcanic National Park,1100
West Yellowstone City Center,1093
Kenansville,1092
"Petrified Forest National Park, South Entrance",1091
UTE 3,1083
Compton,1082
Lyebrook,1079
Helena Lincoln School,1060
Mt. Fanny - Visability (MTF),1056
Fontana,1054
Butte Front Street,1010
Butte Greeley School,996
San Ysidro,974
MAYVILLE,960
White Mountain Research Center - Owens Valley Lab,922
"6ZM 2MI FROM MT CRISTO REY WHERE NM, TEX, AND MEXICO JOIN TOGETHER",913
"Rocky Mountain National Park, Long's Peak",904
Lawrence Co ozone monitor,903
Boulder City,901
Siskin Drive,899
NEWKIRK IMPROVE,891
MSLA Health Dept,887
WEST OF WARD & WYATT RD. INTERSECTION,885
CHILDREN'S PARK NCore,882
Simi Valley-Cochran Street,881
General Coffee,881
6ZN US-MEXICO BORDER CROSSING. BOTH SIDES UNINHABITED AS OF 1996.,875
MLK  CORNER OF MLK BLVD AND JUSTISON ST,858
Remount,855
WORTMAN PROPERTY,851
BALLARD ROAD,842
Big Lake - Visibility,840
Busti Ave - Peace Bridge Study,823
Lake Tahoe Community College,819
Convention Center,818
LAT/LON POINT IS TRAILER,817
Skyview,806
"Mammoth Cave National Park, Houchin Meadow",803
DEL NORTE HIGH SCHOOL,790
PS 198 - Peace Bridge Study,790
BEAVER ISLAND STATE PARK,765
CCRI Liston Campus ROOFTOP,764
Great Basin National Park,756
A420710007LAT/LON POINT AT CORNER OF TRAILER,745
Platteville - Middle School,743
BOTANICAL GARDEN,743
LAT/LON POINT IS CENTER OF TRAILER,739
TWO MILE CREEK ROAD,739
Gates of the arctic,737
Red Bluff-Walnut St. District Office,737
"Craters of the Moon National Monument, Visitor Center",737
A421330008LAT/LON POINT AT CORNER OF TRAILER,735
A420430401LAT/LON POINT IS AT CORNER OF TRAILER,735
HU-Beltsville,735
Maple Canyon,733
Mechanicsburg- Shenandoah HS/ behind the football field,733
PLATFORM IN FIELD BEHIND DELAWARE FED. CREDIT UNION BLDG,730
Columbus-Cusseta,725
Macon-Alllied,724
San Francisco - Bayview Hunters Point,724
 KENT - EAST SMITH ST (TEMPORARY RELOCATION FOR 530332004,723
RAPS,719
LAT/LON=POINT SW CORNER OF TRAILER,717
A420692006LAT/LON POINT IS AT CORNER OF TRAILER,717
NORTH POLE ELEMENTARY SCHOOL,715
Mobile-Goldendale2,711
Five Points,696
Fernberg Road,693
Grass Valley-Litton Building,692
CANAL STREET,690
CHESTER COUNTY TRANSPORT SITE INTO PHILADELPHIA,686
Tacoma_East M AKATacoma Portland Ave Reservoir,675
Spring Hill Elementary School,674
Portola-161 Nevada Street,673
Bountiful Viewmont,657
"DEAN ROAD DEAD-ENDS AT SITE, 200 FT WEST",652
ARMY RESERVE CENTER ROOF- CORE MONITORING SITE,644
