date_of_last_change,count
2020-04-18,700
2018-06-14,700
2017-04-28,700
2021-02-26,700
2020-06-11,700
2017-06-28,698
2014-05-07,696
2019-12-12,693
2015-08-14,692
2019-04-02,690
2018-04-03,688
2015-12-22,688
2021-02-02,688
2021-09-29,688
2015-06-25,682
2014-01-29,682
2014-12-16,682
2014-03-13,680
2020-02-05,678
2021-04-01,674
2020-03-12,672
2023-05-08,672
2013-07-26,670
2014-05-05,667
2013-08-29,666
2015-04-09,662
2018-04-20,660
2016-01-21,656
2014-07-03,656
2015-06-24,652
2018-06-11,648
2014-01-27,646
2020-05-12,646
2014-04-04,644
2016-05-04,642
2014-03-07,639
2014-04-21,636
2020-04-01,636
2018-04-27,636
2019-07-29,634
2022-01-12,632
2021-09-15,630
2014-08-06,626
2015-01-22,620
2015-10-20,618
2018-08-27,614
2018-01-23,606
2014-01-30,604
2014-05-12,603
2016-04-01,600
2016-12-13,596
2017-05-09,590
2014-05-08,586
2022-05-05,584
2016-12-06,572
2021-04-27,572
2016-01-04,566
2021-04-23,564
2014-05-22,556
2017-10-13,552
2017-07-11,552
2016-12-15,547
2013-06-26,544
2021-11-01,540
2023-04-14,540
2018-12-19,538
2015-04-14,538
2019-04-25,533
2015-05-22,530
2018-01-29,526
2023-04-28,524
2019-06-14,514
2015-11-17,514
2016-07-12,510
2016-05-26,505
2020-11-24,498
2018-10-02,496
2015-12-09,490
2018-11-29,482
2016-05-16,474
2016-02-15,474
2014-12-31,474
2023-03-30,472
2014-04-07,472
2014-04-08,469
2019-10-16,462
2022-05-10,460
2017-12-26,458
2021-05-05,440
2016-11-17,438
2016-09-19,436
2017-10-02,427
2019-05-16,424
2020-06-03,422
2016-05-02,417
2018-01-05,408
2017-03-09,406
2016-06-02,402
2018-04-18,402
2013-07-05,390
2013-07-04,386
2018-04-25,384
2015-06-18,382
2015-05-26,374
2017-05-02,366
2015-01-07,366
2020-01-07,365
2016-03-29,365
2014-02-05,365
2018-09-07,365
2015-01-28,365
2020-12-15,364
2014-09-29,364
2020-09-01,364
2018-02-16,363
2014-10-27,362
2018-01-17,362
2015-02-09,361
2015-12-31,360
2023-04-19,360
2018-05-31,359
2014-09-04,358
2020-07-27,357
2013-10-08,354
2018-04-19,351
2020-12-17,349
2020-11-25,348
2017-03-14,346
2014-08-01,345
2018-01-25,344
2020-10-06,344
2021-08-18,344
2018-01-08,340
2013-07-29,339
2019-05-02,339
2020-08-06,338
2013-07-11,338
2018-10-05,338
2016-06-29,337
2015-09-17,330
2015-05-14,324
2015-07-09,324
2016-08-02,320
2013-10-01,320
2021-04-14,315
2019-07-24,314
2013-06-28,314
2014-02-10,313
2017-04-19,313
2014-03-12,303
2018-07-25,302
2013-11-19,302
2017-09-29,302
2018-09-28,300
2014-04-28,299
2021-12-02,294
2021-11-23,294
2021-10-27,280
2023-04-30,280
2017-11-09,272
2015-05-12,268
2018-08-28,268
2017-12-20,258
2013-07-09,254
2021-12-30,253
2015-07-14,249
2015-12-28,248
2019-08-07,240
2021-09-01,238
2014-04-11,238
2020-08-19,236
2020-07-28,235
2022-03-22,230
2015-04-24,218
2015-01-06,213
2013-06-19,200
2021-01-08,196
2020-08-13,196
2017-05-25,194
2017-04-23,190
2016-01-12,189
2018-06-08,188
2017-05-31,188
2023-04-10,186
2020-08-12,184
2020-10-02,184
2019-10-01,184
2016-07-22,182
2019-10-28,181
2021-05-27,180
2019-05-28,180
2019-06-25,180
2017-06-13,180
2017-09-01,177
2018-10-10,174
2018-10-01,174
2019-01-30,170
2014-07-28,168
2019-06-03,166
2020-10-15,166
2018-12-13,164
2023-04-21,162
2013-06-21,160
2019-05-30,158
2015-10-08,153
2022-05-13,152
2015-06-26,139
2016-07-15,138
2016-04-22,137
2020-11-03,136
2022-03-12,132
2023-04-07,124
2014-09-03,116
2021-06-24,116
2013-09-20,116
2019-05-21,114
2018-07-02,112
2015-09-02,108
2015-12-15,92
2018-07-24,90
2016-10-14,90
2023-04-03,90
2018-09-26,84
2014-06-09,84
2020-05-19,84
2018-08-17,82
2016-06-07,70
2021-09-14,64
2023-03-21,62
2023-05-01,62
2015-08-24,59
2019-06-13,52
2018-05-29,50
2015-05-05,46
2017-03-27,22
2016-01-22,6
2016-05-01,4
2015-11-04,2
