local_site_name,count
"TRAILER AT S END OF FIELD ALONG 270TH AV, APPROX 1/4 MI W OF 90TH ST",3105
ROSE PARK,3103
Edison,3042
Copper View,3032
MIDDLE SCALE CO SITE AT CORNER OF STRATFORD RD/HANES MALL BLVD,3002
UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF TRAILER,3001
Honolulu-South King Street,2986
Hattie Avenue,2966
PONCA TRIBE,2951
Pleasanton - Owens Ct,2904
QUAPAW SHELTER,2903
Parlier,2902
LSU,2902
Tranquillity,2897
Rockefeller Library,2889
Madera-Pump Yard,2846
.7 MILES E FROM OLD SITE ON S SIDE OF ST CHAS ROCK RD.,2832
THOMASTON WPCF,2826
KING CITY AMS,2803
TANGERINE,2765
NIHF STEM MS,2745
Atascadero (original site),2670
GRAND AVE,2646
"PUEBLO OF JEMEZ TRIBAL TRUST LANDS, DEPARTMENT OF RESOURCE PROTEC-",2627
City of Alexandria Transportation and Env. Services Maintenance Bldg,2533
QUEENSBORO COMMUNITY COLLEGE,2514
FORMERLY FRESNO-OLIVE - LOCATED AT OLIVE AND FISHER STREETS,2508
Sutter Buttes (seasonal),2439
Cupertino Monta Vista,2428
DP4th - Detroit Police 4th Precinct (GHIB),2421
PARKGATE/EAGLE RIVER,2387
SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE,2366
"LOCATED IN BOY'S CLUB, 1 BLOCK NORTH OF US40 W ON US41",2359
TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),2326
Bishop-157 Short Street,2324
Butner,2299
Mira Loma (Bellegrave),2289
Napa Valley College,2275
County Line,2240
Berkeley,2234
NORTH OF HIGHWAY 76 NEXT TO A HELICOPTER TOURING COMPANY.,2230
6ZQ Solano,2221
Monroeville,2218
Harrisville,2186
OKC CENTRAL-OSDH,2175
HOFFMAN ESTATES HS,2172
FAIRWAY SIGN,2154
"JIM AND JENNY'S TATTOO 210 E YAKIMA AVE, YAKIMA WA",2153
Kingery Near Road #1,2150
TAYLORS,2149
CETL - Cape Elizabeth Two Lights (State Park),2133
LOCATED IN PARKING LOT OFF MILITARY TRAIL,2130
WATER TREATMENT PLANT-LINDSEY RD NEAR GUADALUPE RD,2118
N. Military Trail Palm Bch,2085
NORTH SIDE OF 3RD AVENUE ACROSS STREET FROM OLD SITE,2084
A420791101LAT/LON POINT IS AT CORNER OF TRAILER,2069
WEST CHANDLER-FIRE STN-PRICE RD & CHANDLER BLVD,2059
South Lake Tahoe-Tahoe Blvd,2042
UMKC,2028
Incline,2024
DHHS,1993
MAYVILLE,1968
6ZN Santa Teresa,1960
BAXTER (BAX),1927
LASER SCHL SW CORNER OF INTERSECTION OF E WASHINGTON & 6TH AVE EN,1901
Cherry Grove,1885
Utah Technical Center,1875
Twenty Nine Palms-Adobe,1856
Padonia,1848
WSDOT FACILITY 6431 CORSON AVE S (GEORGETOWN) SEATTLE,1828
Reno4,1820
Hopedale,1804
CPS Pecan Valley,1802
Hinckley Casino,1783
Enochville School,1778
LOCATED ON THE FRONT CORNER OF THE WATERWORKS BUILDING,1777
"MOMS, ADEM",1745
GLENSTONE CO SITE ESTABLISHED 2/00.,1731
LOCATE ON THE SOUTH CORNER OF THE HWY 89 & HWY 28 INTERSECTION.,1720
MADISON - UNIVERSITY AVE WELL #6,1711
GONZAGA UNIVERSITY NORTH SIDE OF JEPSON CENTER BLDG #34,1706
BETWEEN MIDDLESEX CO BLDG AND RT 130/U.S. 1 CIRCLE,1693
SHELTER LOCATED OFF THE ON-RAMP FROM THE RACETRACK TO CARMICHAEL RD,1692
UTM COORDINATES = INLET PROBE ON ROOF OF TRAILER,1665
NORTH OF LEXINGTON & EAST ARKANSAS INTERSECTION,1648
SOUTH BEND CAAP,1589
POINT = CENTER OF MASS OF MANMADE MATERIALS AT SITE,1576
SITE IS TRAILER LOCATED ON NE CORNER OF 32ND AND CHATTEROI STREETS,1576
Yosemite National Park - Merced River Site,1559
SITE IS LOCATED ONE HALF MILE EAST OF THE I-57/I-60 INTERCHANGE,1487
TRAILER IN PARKING LOT AT 455 MARION RD,1468
Greenville ESC,1466
LOGAN #4,1463
DODGE CITY,1462
NORTH VALLEY,1461
SITE IS IN A FIELD WEST OF THE NIXON POWER PLANT,1458
Evansville CAAP,1449
El Cajon - Floyd Smith Dr.,1430
THIS SITE IS LOCATED IN THE HALLMARK CARD STORE,1418
MIDDLESBORO,1417
Marcellus,1415
CHASE (COVINGTON),1389
PSAPCA SITE,1374
LOCATED ABOUT 1/4 MILE WEST OF SITE,1373
ASHLAND PRIMARY (FIVCO),1359
Murphy Ridge,1356
Fresno-Foundry,1329
"TRAILER IN FENCED IN PAVED LOT, CORNER LEXINGTON & E. FERRY",1320
"MORGAN JOHNSON TRUCK SERVICE CENTER 2939 BROADWAY, EVERETT",1298
Benicia - VIP,1280
Thirty-Third,1276
REPLACED BY NEW NORTH OREM SITE LATER IN 1994 (SEE 49-049-5009),1265
ALAMO LAKE,1257
STEEL DYNAMICS,1238
"Walden - Colorado, Chandler Ranch",1234
W1-SAND DRAW-01,1224
BY CELLULAR TOWER TOP OF HILL,1196
Lakeport-Lakeport Blvd.,1193
NORTH EAST OF BASIN F COLOCATED WITH MET 4,1160
University Medical Center,1157
DENVER MUNICIPAL ANIMAL SHELTER,1128
POINT=CENTER OF MASS OF MANMADE MATERIALS AT SITE,1122
SE CORNER OF PAYLIS STADIUM,1121
Redding - Health Department,1094
SEASONAL SITE,1083
JACKSON PURCHASE (PADUCAH PRIMARY),1065
POINT = CENTER OF TRAILER,1038
PECK,1009
Oakland-International Blvd.,1001
Yosemite NP - Turtleback Dome,998
Niumalu,988
San Diego-Barrio Logan,982
Union Cross,978
LONG CREEK,958
Joe Neal,945
Tata Gaseous,935
Fuquay-Varina,917
Woodland-Sutter St.,913
Crouse,905
SITE IS IN A FIELD SOUTHEAST OF THE NIXON POWER PLANT,903
SB25 trailer at Hollenbeck School,899
27KM N OF ALLENTOWN RURAL SITE ON A KNOLL WITHIN A LARGE CLEARING,889
Julian B. Lane Park,884
FIRST SITE. WEST OF PLANT.,865
Flax Pond,855
BROOKSIDE TERRACE,854
ON NEWPORT NEWS SCHOOL MAINTENANCE FACILITY,840
Wilmington-N. Mahar Ave,839
Franklinton,825
Westbluff,804
FRANKLIN STREET DOWNTOWN CHAPEL HILL,798
OPEN AREA NE OF VISITOR PARKING LOT AND ADJACENT TO AIRPORT RD,790
YUMA SUPERSITE,784
Durham Armory,752
San Luis Rio Colorado Well 10,748
IPL SUBSTATION AT DOW-ELANCO COMPLEX,741
EAST OF GE PROPERTY,734
A.E. STALEY MANUFACTURING CO  SAGAMORE PLANT,733
San Francisco - Bayview Hunters Point,731
SHELTER IS IN A FLAT GRASSY AREA NEAR USGS ACID DEPOSITION EQUIPMENT,731
Red Leaf AQ,727
Jefferson County Airport,723
Meigs County Ozone monitor,717
"TVA PSD SITE IN ACKERMAN , MS",716
