local_site_name,count
ECHOLS,1610
FRESHKILLS SITE,1607
Jackson FS19,1590
ROOF OF WILBUR WRIGHT SCHOOL,1590
CARVER HS,1589
Bakersfield-Muni,1579
Coso Junction,1578
Bridgham School site,1571
Pensacola NAS,1564
PHENIX CITY - SOUTH GIRARD SCHOOL,1560
WEST OF 15TH AVE. N & NORTH LOGAN INTERSECTION,1558
LWD,1557
ENRIGHT (REX) ATHLETIC CENTER (USC),1557
University Medical Center,1542
Battlement Mesa,1541
Simmons Park,1520
PADUCAH MIDDLE SCHOOL,1518
BW Site 12 Shaw,1515
BW Site 9 Bitters,1511
HOWARD Adult Center #2,1510
RIFLE - HENRY BLDG,1510
Berkeley- Aquatic Park,1510
BW Site 13 Rays,1508
BW Site 11 Dehring,1507
BW Site 3 Villhauer,1506
"SITE IS LOCATED ON PLATFORM AT REAR OF TENNIS COURTS, KEREIAKES PARK",1506
BW Site 18 Goetz,1506
"Lakeview, CENTER & M ST.  (LCM)",1500
BW Site 8 Willet,1500
Tri County Health Dept. Bldg.,1494
BW Site 15 Peters,1490
BW Site 19 Paule,1481
Rider University,1481
NORTH OF DFW AIRPORT,1479
San Diego - Sherman Elementary School,1474
Tarrant Elementary School,1466
SITE IS LOCATED ON WEST SIDE OF THE MAIN RUNWAY NEAR CAP DRIVE,1464
"FAIRHOPE, Alabama",1461
SOUTH OF NEVILLE ISLAND (UPWIND),1460
Harvard Yards,1458
El Paso Delta,1449
CHICKASAW,1446
Tillman,1442
JOHNSON AND WALES,1436
MANITOWOC - WDLND DUNES,1435
Dinosaur National Monument,1435
EAST OF BATTLEGROUND RD. & MARKER DR. INTERSECTION,1432
Kern,1428
Grand Canyon West,1428
Primrose Ave,1424
ARABI,1424
MESA COUNTY TRAFFIC SERVICES BUILDING,1420
Eagan,1409
SEATTLE - OLIVE ST,1404
UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER,1403
PS 69  FRESHKILLS NETWORK,1403
Lower Price Hill,1386
New Orleans / City Park,1381
CHIWAUKEE PRAIRIE STATELINE,1374
"MUSCATINE, MUSSER PARK",1372
Reno4,1366
Saint Paul Park Refinery 435,1355
HAWKEYE DOWNS SOUTHWEST CORNER,1348
Hendersonville Ozone Site at Old Hickory Dam,1344
MADISON AVE,1343
"ST.ANDREWS STATE PARK, PANAMA CITY BEACH",1343
Anderson School,1340
Victorville-Amargosa Road,1338
LAX Hastings,1333
WINONA ELEMENTARY SCHOOL,1328
FRESHKILLS MET TOWER,1316
Hattiesburg,1314
A420990301LAT/LON POINT IS AT CORNER OF TRAILER,1314
Foundry Circle,1308
SAUVIE ISLAND-SIS,1305
Flint Hills Refinery 439,1296
San Jose-W. San Carlos St.,1293
